@relation doenca
  
@attribute temperaturas {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}
@attribute umidade {100, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, <90}
@attribute manchas {Sim, Nao}
@attribute chuva {Sim, Nao}
@attribute doenca {Sim, Nao}
  
@data
1,100,Nao,Nao,Nao
1,100,Sim,Nao,Nao
1,100,Sim,Sim,Nao
1,100,Nao,Sim,Nao
2,100,Nao,Nao,Nao
2,100,Sim,Nao,Nao
2,100,Sim,Sim,Nao
2,100,Nao,Sim,Nao
3,100,Nao,Nao,Nao
3,100,Sim,Nao,Nao
3,100,Sim,Sim,Nao
3,100,Nao,Sim,Nao
4,100,Nao,Nao,Nao
4,100,Sim,Nao,Nao
4,100,Sim,Sim,Nao
4,100,Nao,Sim,Nao
5,100,Nao,Nao,Nao
5,100,Sim,Nao,Nao
5,100,Sim,Sim,Nao
5,100,Nao,Sim,Nao
6,100,Nao,Nao,Nao
6,100,Sim,Nao,Nao
6,100,Sim,Sim,Nao
6,100,Nao,Sim,Nao
7,100,Nao,Nao,Nao
7,100,Sim,Nao,Nao
7,100,Sim,Sim,Nao
7,100,Nao,Sim,Nao
8,100,Nao,Nao,Nao
8,100,Sim,Nao,Nao
8,100,Sim,Sim,Nao
8,100,Nao,Sim,Nao
9,100,Nao,Nao,Nao
9,100,Sim,Nao,Nao
9,100,Sim,Sim,Nao
9,100,Nao,Sim,Nao
10,100,Nao,Nao,Nao
10,100,Sim,Nao,Nao
10,100,Sim,Sim,Nao
10,100,Nao,Sim,Nao
11,100,Nao,Nao,Nao
11,100,Sim,Nao,Nao
11,100,Sim,Sim,Nao
11,100,Nao,Sim,Nao
21,100,Nao,Nao,Nao
21,100,Sim,Nao,Nao
21,100,Sim,Sim,Nao
21,100,Nao,Sim,Nao
22,100,Nao,Nao,Nao
22,100,Sim,Nao,Nao
22,100,Sim,Sim,Nao
22,100,Nao,Sim,Nao
23,100,Nao,Nao,Nao
23,100,Sim,Nao,Nao
23,100,Sim,Sim,Nao
23,100,Nao,Sim,Nao
24,100,Nao,Nao,Nao
24,100,Sim,Nao,Nao
24,100,Sim,Sim,Nao
24,100,Nao,Sim,Nao
25,100,Nao,Nao,Nao
25,100,Sim,Nao,Nao
25,100,Sim,Sim,Nao
25,100,Nao,Sim,Nao
26,100,Nao,Nao,Nao
26,100,Sim,Nao,Nao
26,100,Sim,Sim,Nao
26,100,Nao,Sim,Nao
27,100,Nao,Nao,Nao
27,100,Sim,Nao,Nao
27,100,Sim,Sim,Nao
27,100,Nao,Sim,Nao
28,100,Nao,Nao,Nao
28,100,Sim,Nao,Nao
28,100,Sim,Sim,Nao
28,100,Nao,Sim,Nao
29,100,Nao,Nao,Nao
29,100,Sim,Nao,Nao
29,100,Sim,Sim,Nao
29,100,Nao,Sim,Nao
30,100,Nao,Nao,Nao
30,100,Sim,Nao,Nao
30,100,Sim,Sim,Nao
30,100,Nao,Sim,Nao
31,100,Nao,Nao,Nao
31,100,Sim,Nao,Nao
31,100,Sim,Sim,Nao
31,100,Nao,Sim,Nao
32,100,Nao,Nao,Nao
32,100,Sim,Nao,Nao
32,100,Sim,Sim,Nao
32,100,Nao,Sim,Nao
33,100,Nao,Nao,Nao
33,100,Sim,Nao,Nao
33,100,Sim,Sim,Nao
33,100,Nao,Sim,Nao
34,100,Nao,Nao,Nao
34,100,Sim,Nao,Nao
